scenario,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
Double revision,IND,IDA1,52.37360827,83.7042894,7894.020008905691,11156.4246013524,3262.40459244671,150.7251508853448,133.28378606786669,3816.4540459189025,320.9512523543851
Double revision,IND,IDA2,6.60794631,5.38465602,930.0915616002401,925.01390370774,-5.077657892500042,140.75349858589274,171.787,3816.4540459189025,320.9512523543851
Double revision,IND,IDA3,20.04958234,8.61479636,3062.72217575961,1379.01981704172,-1683.7023587178899,152.75740530760652,160.07573010602425,3816.4540459189025,320.9512523543851
Double revision,COM,ALL,3208.75846386,71.08837986,444464.3180678101,10139.23058277262,-434325.08748503745,138.51597839905295,142.62852244966916,3385.0434092823425,303.3866855082873
Double revision,COM,FM,416.89689372,0,35436.235966199994,0,-35436.235966199994,84.99999999999999,,3385.0434092823425,303.3866855082873
Double revision,COM,DAM,2714.469318,0,396684.052274,0,-396684.052274,146.13687089536668,,3385.0434092823425,303.3866855082873
Double revision,COM,IDA1,68.99172343,50.7477896,10995.39865814181,6694.8950100228,-4300.50364811901,159.37272054521006,131.9248594429973,3385.0434092823425,303.3866855082873
Double revision,COM,IDA2,6.694725119999999,6.27591759,1108.87535748304,1078.1210550333299,-30.754302449710167,165.6341877533338,171.78699999999998,3385.0434092823425,303.3866855082873
Double revision,COM,IDA3,1.70580359,14.06467267,239.75581198527,2366.21451771649,2126.4587057312197,140.553,168.23815052330613,3385.0434092823425,303.3866855082873
Double revision,RES,ALL,5303.8570401535,143.61269678,794906.9999911827,20019.10766843232,-774887.8923227504,149.8733834591019,139.3965026581149,5408.435277198755,352.11639391777896
Double revision,RES,FM,74.1418716635,0,6742.6542903675,0,-6742.6542903675,90.94259612125364,,5408.435277198755,352.11639391777896
Double revision,RES,DAM,5130.34382,0,772876.2979003399,0,-772876.2979003399,150.64805108916462,,5408.435277198755,352.11639391777896
Double revision,RES,IDA1,93.62140148,102.1654667,14350.19505971316,13537.504977037,-812.6900826761594,153.27900280128512,132.50568332241565,5408.435277198755,352.11639391777896
Double revision,RES,IDA2,1.9046314,16.39257598,327.1909143118,2588.06943381652,2260.87851950472,171.787,157.88058185450117,5408.435277198755,352.11639391777896
Double revision,RES,IDA3,3.84531561,25.0546541,610.6618264502699,3893.5332575788,3282.8714311285303,158.80668542842182,155.40159692640898,5408.435277198755,352.11639391777896
Double revision,PV_C,ALL,18.58736683,695.4641224999999,2626.3241384348103,68926.0918768644,66299.7677384296,141.29619124942025,99.10804834776278,594.8147394,82.06201627000002
Double revision,PV_C,FM,0,486.37970934,0,41689.689372,41689.689372,,85.71428571428572,594.8147394,82.06201627000002
Double revision,PV_C,DAM,0,208.44844494,0,27148.7470051018,27148.7470051018,,130.2420222559891,594.8147394,82.06201627000002
Double revision,PV_C,IDA1,15.95008843,0,2248.49708573721,0,-2248.49708573721,140.9708225509324,,594.8147394,82.06201627000002
Double revision,PV_C,IDA2,0,0,0,0,0,,,594.8147394,82.06201627000002
Double revision,PV_C,IDA3,2.6372784,0.63596822,377.82705269760004,87.6554997626,-290.171552935,143.264,137.83,594.8147394,82.06201627000002
Double revision,PV_A,ALL,5.44676645,694.8281544,792.75497789675,90495.82394112801,89703.06896323126,145.54598313954696,130.24202224400827,594.8147394,94.56664855000002
Double revision,PV_A,FM,0,0,0,0,0,,,594.8147394,94.56664855000002
Double revision,PV_A,DAM,0,694.8281544,0,90495.82394112801,90495.82394112801,,130.24202224400827,594.8147394,94.56664855000002
Double revision,PV_A,IDA1,2.9964307,0,429.2806478048,0,-429.2806478048,143.264,,594.8147394,94.56664855000002
Double revision,PV_A,IDA2,0,0,0,0,0,,,594.8147394,94.56664855000002
Double revision,PV_A,IDA3,2.45033575,0,363.47433009195004,0,-363.47433009195004,148.33654126457978,,594.8147394,94.56664855000002
Double revision,W_C,ALL,24.0163942,284.5372550985,3785.3719006723,39367.807339247156,35582.43543857486,157.61616290726522,138.35730342453385,202.1201328135,115.34634825950002
Double revision,W_C,FM,0,32.613392304499996,0,3284.6345106675,3284.6345106675,,100.71428571428572,202.1201328135,115.34634825950002
Double revision,W_C,DAM,0,13.97716814,0,2034.69242765576,2034.69242765576,,145.57258003020345,202.1201328135,115.34634825950002
